Dataset,Q,react_baseline,react_multi_trace
HotPotQA,1,0,0
HotPotQA,2,0,0
HotPotQA,3,0,0
HotPotQA,4,0,0
HotPotQA,5,0,1
HotPotQA,6,0,0
HotPotQA,7,0,0
HotPotQA,8,1,1
HotPotQA,9,0,1
HotPotQA,10,1,1
HotPotQA,11,0,0
HotPotQA,12,0,1
HotPotQA,13,0,0
HotPotQA,14,0,1
HotPotQA,15,1,1
HotPotQA,16,0,0
HotPotQA,17,1,1
HotPotQA,18,0,0
HotPotQA,19,0,0
HotPotQA,20,0,0
HotPotQA,21,0,0
HotPotQA,22,0,0
HotPotQA,23,1,1
HotPotQA,24,0,0
HotPotQA,25,0,1
HotPotQA,26,1,1
HotPotQA,27,1,1
HotPotQA,28,1,1
HotPotQA,29,0,0
HotPotQA,30,0,0
HotPotQA,31,0,0
HotPotQA,32,0,0
HotPotQA,33,1,1
HotPotQA,34,0,0
HotPotQA,35,0,0
HotPotQA,36,1,0
HotPotQA,37,0,0
HotPotQA,38,0,1
HotPotQA,39,1,1
HotPotQA,40,0,0
HotPotQA,41,0,0
HotPotQA,42,0,0
HotPotQA,43,1,1
HotPotQA,44,0,0
HotPotQA,45,1,1
HotPotQA,46,0,0
HotPotQA,47,1,1
HotPotQA,48,0,0
HotPotQA,49,1,1
HotPotQA,50,0,0
HotPotQA,51,0,0
HotPotQA,52,1,1
HotPotQA,53,1,1
HotPotQA,54,0,1
HotPotQA,55,0,0
HotPotQA,56,0,1
HotPotQA,57,1,1
HotPotQA,58,1,1
HotPotQA,59,0,0
HotPotQA,60,0,1
HotPotQA,61,0,0
HotPotQA,62,1,1
HotPotQA,63,0,0
HotPotQA,64,0,1
HotPotQA,65,0,0
HotPotQA,66,1,1
HotPotQA,67,1,1
HotPotQA,68,1,1
HotPotQA,69,0,0
HotPotQA,70,0,1
HotPotQA,71,0,0
HotPotQA,72,1,1
HotPotQA,73,1,1
HotPotQA,74,0,0
HotPotQA,75,0,0
HotPotQA,76,0,1
HotPotQA,77,0,0
HotPotQA,78,0,1
HotPotQA,79,0,0
HotPotQA,80,1,1
FEVER,1,0,1
FEVER,2,1,1
FEVER,3,1,0
FEVER,4,0,1
FEVER,5,1,1
FEVER,6,0,1
FEVER,7,1,1
FEVER,8,0,0
FEVER,9,1,1
FEVER,10,1,1
FEVER,11,1,1
FEVER,12,1,1
FEVER,13,1,1
FEVER,14,1,0
FEVER,15,1,1
FEVER,16,0,0
FEVER,17,1,1
FEVER,18,0,0
FEVER,19,0,0
FEVER,20,1,1
FEVER,21,0,0
FEVER,22,1,1
FEVER,23,0,1
FEVER,24,0,0
FEVER,25,0,0
FEVER,26,1,1
FEVER,27,0,0
FEVER,28,1,1
FEVER,29,1,1
FEVER,30,0,1
FEVER,31,0,1
FEVER,32,1,0
FEVER,33,0,0
FEVER,34,1,1
FEVER,35,0,0
FEVER,36,0,1
FEVER,37,1,1
FEVER,38,0,0
FEVER,39,1,1
FEVER,40,0,0
FEVER,41,0,0
FEVER,42,1,1
FEVER,43,1,1
FEVER,44,0,0
FEVER,45,0,0
FEVER,46,1,1
FEVER,47,1,1
FEVER,48,1,0
FEVER,49,1,1
FEVER,50,1,1
FEVER,51,0,1
FEVER,52,1,1
FEVER,53,1,1
FEVER,54,1,1
FEVER,55,0,1
FEVER,56,1,1
FEVER,57,0,0
FEVER,58,1,1
FEVER,59,1,1
FEVER,60,1,1
FEVER,61,0,0
FEVER,62,0,0
FEVER,63,0,0
FEVER,64,0,1
FEVER,65,1,1
FEVER,66,1,1
FEVER,67,1,1
FEVER,68,1,1
FEVER,69,0,1
FEVER,70,0,0
FEVER,71,0,0
FEVER,72,0,0
FEVER,73,1,1
FEVER,74,0,0
FEVER,75,0,0
FEVER,76,1,1
FEVER,77,0,0
FEVER,78,1,1
FEVER,79,0,0
FEVER,80,0,0
